district_id,lb_code,lb_name_english,lb_type_csn,lb_type,district_name,lb_name_full
11,B110600,Perambra,2,Block Panchayat,Kozhikode District ,"Perambra Block Panchayat, Kozhikode District "
13,B131100,Peravoor,2,Block Panchayat,Kannur District ,"Peravoor Block Panchayat, Kannur District "
10,B100700,Perinthalmanna,2,Block Panchayat,Malappuram District ,"Perinthalmanna Block Panchayat, Malappuram District "
10,M100100,Perinthalmanna,10,Muncipality,Malappuram District ,"Perinthalmanna Muncipality, Malappuram District "
7,M070700,Perumbavoor,10,Muncipality,Ernakulam District ,"Perumbavoor Muncipality, Ernakulam District "
10,B101500,Perumpadappu,2,Block Panchayat,Malappuram District ,"Perumpadappu Block Panchayat, Malappuram District "
7,M071200,Piravom,10,Muncipality,Ernakulam District ,"Piravom Muncipality, Ernakulam District "
10,B101400,Ponnani,2,Block Panchayat,Malappuram District ,"Ponnani Block Panchayat, Malappuram District "
10,M100200,Ponnani,10,Muncipality,Malappuram District ,"Ponnani Muncipality, Malappuram District "
1,B010700,Pothencode,2,Block Panchayat,Thiruvananthapuram District ,"Pothencode Block Panchayat, Thiruvananthapuram District "
2,M020300,Punaloor,10,Muncipality,Kollam District ,"Punaloor Muncipality, Kollam District "
8,B080600,Puzhakkal,2,Block Panchayat,Thrissur District ,"Puzhakkal Block Panchayat, Thrissur District "
11,M110200,Quilandy,10,Muncipality,Kozhikode District ,"Quilandy Muncipality, Kozhikode District "
11,M110500,Ramanattukara,10,Muncipality,Kozhikode District ,"Ramanattukara Muncipality, Kozhikode District "
9,M090200,Shornur,10,Muncipality,Palakkad District ,"Shornur Muncipality, Palakkad District "
13,M131000,Sreekandapuram,10,Muncipality,Kannur District ,"Sreekandapuram Muncipality, Kannur District "
9,B090400,Sreekrishnapuram,2,Block Panchayat,Palakkad District ,"Sreekrishnapuram Block Panchayat, Palakkad District "
12,M120300,Sulthan Bathery,10,Muncipality,Wayanad District ,"Sulthan Bathery Muncipality, Wayanad District "
1,G010101,Chemmaruthy,1,Grama Panchayat,Thiruvananthapuram District ,"Chemmaruthy Grama Panchayat, Thiruvananthapuram District "
1,G010102,Edava,1,Grama Panchayat,Thiruvananthapuram District ,"Edava Grama Panchayat, Thiruvananthapuram District "
1,G010103,Elakamon,1,Grama Panchayat,Thiruvananthapuram District ,"Elakamon Grama Panchayat, Thiruvananthapuram District "
1,G010104,Manamboor,1,Grama Panchayat,Thiruvananthapuram District ,"Manamboor Grama Panchayat, Thiruvananthapuram District "
1,G010105,Ottoor,1,Grama Panchayat,Thiruvananthapuram District ,"Ottoor Grama Panchayat, Thiruvananthapuram District "
1,G010106,Cherunniyoor,1,Grama Panchayat,Thiruvananthapuram District ,"Cherunniyoor Grama Panchayat, Thiruvananthapuram District "
1,G010107,Vettoor,1,Grama Panchayat,Thiruvananthapuram District ,"Vettoor Grama Panchayat, Thiruvananthapuram District "
1,G010201,Kilimanoor,1,Grama Panchayat,Thiruvananthapuram District ,"Kilimanoor Grama Panchayat, Thiruvananthapuram District "
1,G010202,Pazhayakunnummel,1,Grama Panchayat,Thiruvananthapuram District ,"Pazhayakunnummel Grama Panchayat, Thiruvananthapuram District "
1,G010203,Karavaram,1,Grama Panchayat,Thiruvananthapuram District ,"Karavaram Grama Panchayat, Thiruvananthapuram District "
1,G010204,Madavoor,1,Grama Panchayat,Thiruvananthapuram District ,"Madavoor Grama Panchayat, Thiruvananthapuram District "
1,G010205,Pallickal,1,Grama Panchayat,Thiruvananthapuram District ,"Pallickal Grama Panchayat, Thiruvananthapuram District "
1,G010206,Nagaroor,1,Grama Panchayat,Thiruvananthapuram District ,"Nagaroor Grama Panchayat, Thiruvananthapuram District "
1,G010207,Navaikulam,1,Grama Panchayat,Thiruvananthapuram District ,"Navaikulam Grama Panchayat, Thiruvananthapuram District "
